scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-07,1368130380,Pronájem bytu atypické 113 m² (Jednopodlažní),"Pod Klaudiánkou, Praha 4 - Podolí",Praha 4,Podolí,28500,113,atypicky,1. podlaží,Cihlová,Dobrý,,,,True,,Osobní,,,,,Jednopodlažní,
2026-02-07,917975884,Pronájem  pokoje 12 m²,"náměstí Kinských, Praha 5 - Malá Strana",Praha 5,Malá Strana,14400,12,,1. podlaží z celkem 5,Cihlová,Po rekonstrukci,True,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,+ 3700Kč poplatky
2026-02-07,1015219020,Pronájem bytu 2+kk 50 m²,"Maiselova, Praha 1 - Josefov",Praha 1,Josefov,27500,50,2+kk,2. podlaží z celkem 6,Smíšená,Velmi dobrý,True,,,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,"+ služby 2.500 Kč + elektřina, plyn (přepis na nájemce)"
2026-02-07,1274291020,Pronájem  pokoje 11 m²,"náměstí Kinských, Praha 5 - Malá Strana",Praha 5,Malá Strana,14400,11,,4. podlaží z celkem 6,Cihlová,Po rekonstrukci,True,True,,,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,,,,,,+ poplatky  3 700 Kč
2026-02-07,2069459788,Pronájem bytu 3+kk 87 m²,"Odborů, Praha 2 - Nové Město",Praha 2,Nové Město,32500,87,3+kk,4. podlaží z celkem 5,Smíšená,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,+ poplatky 2.500Kč + energie
2026-02-07,2206671692,Pronájem  pokoje 13 m²,"náměstí Kinských, Praha 5 - Malá Strana",Praha 5,Malá Strana,15400,13,,1. podlaží z celkem 6,Cihlová,Po rekonstrukci,True,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,3 700 Kč poplatky vč. internetu
2026-02-07,1345168204,Pronájem bytu 2+kk 45 m²,"Opletalova, Praha 1 - Nové Město",Praha 1,Nové Město,30500,45,2+kk,6. podlaží z celkem 6,Cihlová,Po rekonstrukci,True,True,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Osobní,,,,,,+ poplatky 5500 Kč
2026-02-07,1505178444,Pronájem  pokoje 14 m²,"náměstí Kinských, Praha 5 - Malá Strana",Praha 5,Malá Strana,15000,14,,2. podlaží z celkem 6,Cihlová,Po rekonstrukci,True,True,,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,+ poplatky 3700Kč
2026-02-07,2113573708,Pronájem bytu 1+kk 24 m²,"Krakovská, Praha 1 - Nové Město",Praha 1,Nové Město,27000,24,1+kk,5. podlaží z celkem 6,Smíšená,Po rekonstrukci,True,,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,+ poplatky 4000Kč vč. energií a internetu + další osoba 1500Kč
2026-02-07,3255829324,Pronájem bytu 3+1 137 m²,"Na Viničních horách, Praha 6 - Dejvice",Praha 6,Dejvice,65000,137,3+1,2. podlaží z celkem 3,Cihlová,Po rekonstrukci,Částečně,,4,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"+ poplatky vč. parkování 4.200,-Kč/měs. + energie"
