scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-26,517432140,Pronájem bytu 2+kk 87 m² (Mezonet),"Chodovická, Praha 9 - Horní Počernice",Praha 9,Horní Počernice,27000,87,2+kk,1. podlaží,Cihlová,Velmi dobrý,,,,8,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,1,,,,Mezonet,Pronajímatel si vyhrazuje právo vybrat nájemce na základě jím zvolených kritérií.
2026-02-26,584541004,Pronájem bytu 2+1 50 m² (Jednopodlažní),"Vostrovská, Praha 6 - Dejvice",Praha 6,Dejvice,25500,50,2+1,2. podlaží z celkem 4,Cihlová,Dobrý,,,,,,Osobní,,,,,Jednopodlažní,
2026-02-26,282551116,Pronájem bytu 1+kk 47 m² (Jednopodlažní),"Litoměřická, Praha 9 - Prosek",Praha 9,Prosek,20000,47,1+kk,přízemí,Cihlová,Velmi dobrý,,,,17,,Osobní,,,,,Jednopodlažní,
2026-02-26,3336004428,Pronájem bytu 2+kk 58 m²,"Zlochova, Praha 4 - Modřany",Praha 4,Modřany,25000,58,2+kk,4. podlaží z celkem 7,Cihlová,Novostavba,False,True,7,,Třída A - Mimořádně úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,1,,,Ústřední dálkové,,+ 5 000 Kč poplatky včetně elektřiny
2026-02-26,98001740,Pronájem bytu 4+1 160 m²,"Anny Letenské, Praha 2 - Vinohrady",Praha 2,Vinohrady,62500,160,4+1,3. podlaží z celkem 4,Cihlová,Velmi dobrý,False,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,+ poplatky na osobu/měsíc: 900 Kč + převod na nájemce: elektřina + plyn
2026-02-26,2076664652,Pronájem bytu 1+kk 23 m²,"Kyselova, Praha 8 - Kobylisy",Praha 8,Kobylisy,15900,23,1+kk,8. podlaží z celkem 15,Panelová,Velmi dobrý,Částečně,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,
2026-02-26,1774674764,Pronájem bytu 1+kk 28 m² (Jednopodlažní),"Roztylské náměstí, Praha 4 - Záběhlice",Praha 4,Záběhlice,1,28,1+kk,6. podlaží,Cihlová,Dobrý,,,,,,Státní/obecní,,2,,,Jednopodlažní,"Komerční bydlení, za nejvyšší nájemné nabídnuté v rámci MČ Praha 4 zveřejněného záměru pronajmout byt (nabídkové řízení)."
2026-02-26,2126996300,Pronájem bytu 1+1 45 m² (Jednopodlažní),"Matěchova, Praha 4 - Krč",Praha 4,Krč,1,45,1+1,1. podlaží,Cihlová,Dobrý,,,,,,Státní/obecní,,4,,,Jednopodlažní,"Komerční bydlení, za nejvyšší nájemné nabídnuté v rámci MČ Praha 4 zveřejněného záměru pronajmout byt (nabídkové řízení)."
2026-02-26,1606902604,Pronájem bytu 1+1 42 m² (Jednopodlažní),"V Horkách, Praha 4 - Nusle",Praha 4,Nusle,1,42,1+1,1. podlaží,Cihlová,Dobrý,,,,,,Státní/obecní,,2,,,Jednopodlažní,"Komerční bydlení, za nejvyšší nájemné nabídnuté v rámci MČ Praha 4 zveřejněného záměru pronajmout byt (nabídkové řízení)."
2026-02-26,1825006412,Pronájem bytu 1+1 42 m² (Jednopodlažní),"Viktorinova, Praha 4 - Nusle",Praha 4,Nusle,1,42,1+1,3. podlaží,Cihlová,Dobrý,,,,,,Státní/obecní,,,,,Jednopodlažní,"Komerční bydlení, za nejvyšší nájemné nabídnuté v rámci MČ Praha 4 zveřejněného záměru pronajmout byt (nabídkové řízení)."
2026-02-26,1388798796,Pronájem bytu 1+1 41 m² (Jednopodlažní),"Nuselská, Praha 4 - Nusle",Praha 4,Nusle,1,41,1+1,5. podlaží,Cihlová,Dobrý,,,,,,Státní/obecní,,3,,,Jednopodlažní,"Komerční bydlení, za nejvyšší nájemné nabídnuté v rámci MČ Praha 4 zveřejněného záměru pronajmout byt (nabídkové řízení)."
2026-02-26,1892115276,Pronájem bytu 1+kk 25 m² (Jednopodlažní),"Dolní, Praha 4 - Nusle",Praha 4,Nusle,1,25,1+kk,2. podlaží,Cihlová,Dobrý,,,,,,Státní/obecní,,3,,,Jednopodlažní,"Komerční bydlení, za nejvyšší nájemné nabídnuté v rámci MČ Praha 4 zveřejněného záměru pronajmout byt (nabídkové řízení)."
2026-02-26,1086808908,Pronájem bytu 3+kk 89 m²,"Ke Kapslovně, Praha - Žižkov",,,38000,89,3+kk,8. podlaží,Cihlová,Novostavba,,,,32,,Osobní,1,,,,,
2026-02-26,2428986188,Pronájem bytu 4+kk 71 m²,"V Nových Bohnicích, Praha 8 - Bohnice",Praha 8,Bohnice,35000,71,4+kk,2. podlaží z celkem 2,Cihlová,Velmi dobrý,False,,,63,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,+ poplatky včetně energií 5.000 Kč. Kauce 70.000 Kč + provize RK.
2026-02-26,3771163468,Pronájem bytu 2+kk 40 m² (Jednopodlažní),"Pod Stárkou, Praha 4 - Michle",Praha 4,Michle,19990,40,2+kk,2. podlaží z celkem 4,Cihlová,Novostavba,False,,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,Lokální elektrické,Jednopodlažní,"+ zálohy na služby 1500,-Kč + převod elektřiny (cca 2000,-Kč)"
2026-02-26,3066520396,Pronájem bytu 3+1 165 m² (Podkrovní),"Sinkulova, Praha 4 - Nusle",Praha 4,Nusle,1,165,3+1,5. podlaží,Cihlová,Dobrý,,,,,,Státní/obecní,,,,,Podkrovní,
2026-02-26,1204249420,Pronájem bytu 3+kk 65 m²,"Boleslavova, Praha 4 - Nusle",Praha 4,Nusle,26000,65,3+kk,2. podlaží z celkem 6 včetně 1 podzemního,Panelová,Dobrý,True,True,2,,Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,1,,,,bez poplatků
2026-02-26,80175948,Pronájem bytu 1+1 39 m² (Jednopodlažní),"Na kolejním statku, Praha 4 - Michle",Praha 4,Michle,1,39,1+1,1. podlaží,Cihlová,Dobrý,,,,,,Státní/obecní,,2,,,Jednopodlažní,"Komerční bydlení, za nejvyšší nájemné nabídnuté v rámci MČ Praha 4 zveřejněného záměru pronajmout byt (nabídkové řízení)."
2026-02-26,1761043276,Pronájem bytu 2+kk 49 m² (Jednopodlažní),"Mukařovského, Praha 5 - Stodůlky",Praha 5,Stodůlky,27900,49,2+kk,6. podlaží,Skeletová,Velmi dobrý,True,True,,11,Třída A - Mimořádně úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,Jednopodlažní,"bez provize, vratná kauce ve výši 2 měsíčních nájmů"
2026-02-26,536306508,Pronájem bytu 3+1 76 m²,"Skaláků, Praha 4 - Braník",Praha 4,Braník,29800,76,3+1,3. podlaží z celkem 4,Smíšená,Po rekonstrukci,Částečně,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,3,6,Ústřední plynové,,"měsíční záloha za služby 500 Kč, vratná kauce 59 600 Kč, odměna zprostředkovatele 29 800 Kč"
2026-02-26,1576493900,Pronájem bytu 1+kk 51 m² (Jednopodlažní),"Břežánecká, Praha 5 - Jinonice",Praha 5,Jinonice,19500,51,1+kk,1. podlaží z celkem 5,Cihlová,Velmi dobrý,True,True,,49,Třída C - Úsporná,Osobní,,,,Ústřední dálkové,Jednopodlažní,"plus   zálohy na služby, elektrika, internet, kauce, provize RK"
2026-02-26,4260848460,Pronájem bytu 3+kk 100 m² (Mezonet),"Milíčova, Praha 3 - Žižkov",Praha 3,Žižkov,49000,100,3+kk,5. podlaží,Cihlová,Po rekonstrukci,True,True,,,Třída G - Mimořádně nehospodárná,Družstevní,1,2,,,Mezonet,+ Poplatky viz text
2026-02-26,1140286284,Pronájem bytu 2+kk 47 m²,"Čenětická, Praha 4 - Chodov",Praha 4,Chodov,25500,47,2+kk,7. podlaží,Cihlová,Dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,True,True,,,,+ Poplatky viz text
2026-02-26,2818007884,Pronájem bytu 2+kk 55 m²,"Na Větrníku, Praha 6 - Břevnov",Praha 6,Břevnov,22500,55,2+kk,2. podlaží z celkem 5,Cihlová,Novostavba,True,True,,,Třída C - Úsporná,Osobní,,,,Lokální elektrické,,"vratná jistota, náklady na bydlení 5213 Kč, poplatek za podnájem"
2026-02-26,1173840716,Pronájem bytu 1+kk 35 m²,"Sazovická, Praha 5 - Zličín",Praha 5,Zličín,17500,35,1+kk,1. podlaží z celkem 6 včetně 1 podzemního,Cihlová,Velmi dobrý,False,True,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,4,,,,+ 1. 588 Kč zálohy na poplatky/1 os. + cca 800 Kč/2. os. + elektřina v bytě 760 Kč + vratná kauce 17. 500 Kč + provize RK jeden nájem
2026-02-26,3689374540,Pronájem bytu 3+kk 61 m²,"Kotorská, Praha 4 - Nusle",Praha 4,Nusle,25000,61,3+kk,11. podlaží,Panelová,Velmi dobrý,True,True,,,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,7,,,"bez poplatků, + provize RK, včetně právního servisu"
2026-02-26,971465548,Pronájem bytu 1+kk 19 m² (Podkrovní),"Sokolská, Praha 2 - Nové Město",Praha 2,Nové Město,19500,19,1+kk,6. podlaží z celkem 6,Smíšená,Po rekonstrukci,True,True,,,,Osobní,,True,,Ústřední dálkové,Podkrovní,Poplatky: 2 000 Kč + elektřina bude převedena na nájemníka
2026-02-26,2682741580,Pronájem bytu 2+kk 42 m²,"Jana Želivského, Praha 3 - Žižkov",Praha 3,Žižkov,19000,42,2+kk,1. podlaží z celkem 5,Cihlová,Velmi dobrý,Částečně,True,,,Třída E - Nehospodárná,Osobní,,,,Lokální elektrické,,1050kč za osobu + elektřina 2500kč
