scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-03-01,4080296780,Pronájem bytu 1+kk 38 m²,"Stočesova, Praha 6 - Ruzyně",Praha 6,Ruzyně,17000,38,1+kk,2. podlaží z celkem 6,Cihlová,Velmi dobrý,True,True,4,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Družstevní,,,,Ústřední dálkové,,+ poplatky a elektřina
2026-03-01,3522454348,Pronájem bytu 3+1 81 m²,"Nad Ohradou, Praha 3 - Žižkov",Praha 3,Žižkov,26000,81,3+1,3. podlaží z celkem 6,Panelová,Velmi dobrý,,True,8,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,2,,Ústřední dálkové,,"+poplatky 6.500,-Kč (celkem cca 32.500,-Kč)"
2026-03-01,2194277196,Pronájem bytu 3+kk 100 m²,"Odborů, Praha 2 - Nové Město",Praha 2,Nové Město,44000,100,3+kk,6. podlaží z celkem 7,Cihlová,Po rekonstrukci,True,True,4,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,Lokální plynové,,+ poplatky 3.500 Kč + energie
2026-03-01,1367696204,Pronájem bytu 2+kk 60 m²,"U Zvonařky, Praha 2 - Vinohrady",Praha 2,Vinohrady,33000,60,2+kk,4. podlaží z celkem 5,Skeletová,Velmi dobrý,True,True,,True,Třída G - Mimořádně nehospodárná,Osobní,True,5,,Lokální plynové,,
2026-03-01,653550412,Pronájem bytu 2+kk 45 m²,"Grafická, Praha 5 - Smíchov",Praha 5,Smíchov,18700,45,2+kk,3. podlaží z celkem 5,Cihlová,Velmi dobrý,Částečně,False,,,Třída D - Méně úsporná,Osobní,,,,Lokální elektrické,,"+2.000,-Kč/měsíc poplatky + přepis elektřiny"
2026-03-01,2532598604,Pronájem bytu 1+kk 29 m²,"Petržílova, Praha 4 - Modřany",Praha 4,Modřany,12000,29,1+kk,5. podlaží z celkem 10,Panelová,Velmi dobrý,Částečně,,,,Třída C - Úsporná,Osobní,,,,Ústřední dálkové,,"+4.500,-Kč/měsíc poplatky včetně energie"
2026-03-01,4159988556,Pronájem bytu 3+kk 81 m² (Jednopodlažní),"Biskupcova, Praha 3 - Žižkov",Praha 3,Žižkov,31500,81,3+kk,4. podlaží,Smíšená,Velmi dobrý,Částečně,True,True,,Třída E - Nehospodárná,Osobní,,True,,,Jednopodlažní,
2026-03-01,656696140,Pronájem bytu 1+kk 53 m² (Jednopodlažní),"Naardenská, Praha - Liboc",,,22000,53,1+kk,2. podlaží,Cihlová,Velmi dobrý,,,6,,Třída C - Úsporná,Osobní,,True,,,Jednopodlažní,
2026-03-01,3437519692,Pronájem bytu 1+kk 32 m²,"Na Petynce, Praha 6 - Střešovice",Praha 6,Střešovice,25000,32,1+kk,3. podlaží z celkem 2,Cihlová,Po rekonstrukci,,True,,,,Osobní,,True,,,,
2026-03-01,2380555084,Pronájem bytu 1+kk 39 m²,"Na Petynce, Praha 6 - Střešovice",Praha 6,Střešovice,27000,39,1+kk,3. podlaží z celkem 4,Cihlová,Před rekonstrukcí,,True,,,,Osobní,,True,,,,
2026-03-01,340075340,Pronájem bytu 1+kk 39 m²,"Stočesova, Praha 6 - Ruzyně",Praha 6,Ruzyně,19500,39,1+kk,3. podlaží,Skeletová,Novostavba,Částečně,True,,5,Třída B - Velmi úsporná,Družstevní,,,,,,
2026-03-01,65299276,Pronájem bytu 2+kk 60 m²,"Pod Haltýřem, Praha 4 - Kunratice",Praha 4,Kunratice,22000,60,2+kk,2. podlaží,Smíšená,Novostavba,,True,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,Ústřední dálkové,,+ poplatky 3600 Kč (každá další osoba +550 Kč)
2026-03-01,283403084,Pronájem bytu 1+kk 32 m²,"Poděbradská, Praha 9 - Hloubětín",Praha 9,Hloubětín,19900,32,1+kk,5. podlaží,Cihlová,Novostavba,,,,,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,,,6,,,
2026-03-01,1625580364,Pronájem bytu 1+kk 400 m²,"Na Petynce, Praha 6 - Střešovice",Praha 6,Střešovice,24000,400,1+kk,4. podlaží z celkem 4,Cihlová,Po rekonstrukci,,True,,,,Osobní,,,,,,
2026-03-01,2967757644,Pronájem bytu 2+kk 44 m²,"Na Petynce, Praha 6 - Střešovice",Praha 6,Střešovice,30000,44,2+kk,3. podlaží z celkem 4,Cihlová,Po rekonstrukci,,True,,,,Osobní,,True,,,,
2026-03-01,3504628556,Pronájem bytu 2+kk 40 m²,Praha 1 - Nové Město,Praha 1,Nové Město,27000,40,2+kk,5. podlaží z celkem 5,Cihlová,Velmi dobrý,Částečně,False,True,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Osobní,,,,,,"+ vratná kauce, provize RK, poplatky "
2026-03-01,400843596,Pronájem bytu 3+kk 90 m²,"Svitákova, Praha 5 - Stodůlky",Praha 5,Stodůlky,32000,90,3+kk,8. podlaží z celkem 11,Cihlová,Novostavba,,True,15,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"poplatky 6000 Kč, převod elektřiny"
2026-03-01,34890572,Pronájem bytu 3+1 62 m²,"Sládkovičova, Praha 4 - Krč",Praha 4,Krč,20600,62,3+1,7. podlaží z celkem 9,Panelová,Velmi dobrý,True,True,True,,,Osobní,,True,True,Ústřední dálkové,,"vratná jistota, náklady na bydlení 5600 Kč, poplatek za podnájem"
2026-03-01,3004457804,Pronájem bytu 2+kk 51 m²,"Počernická, Praha 10 - Strašnice",Praha 10,Strašnice,21900,51,2+kk,2. podlaží z celkem 7,Cihlová,Novostavba,Částečně,True,True,,Třída C - Úsporná,Osobní,,True,,Ústřední dálkové,,"vratná jistota, náklady na bydlení 4500 Kč, poplatek za podnájem, + 1 500 kč garážové stání"
2026-03-01,3541328716,Pronájem bytu 2+kk 50 m²,"Podolské nábřeží, Praha 4 - Podolí",Praha 4,Podolí,24000,50,2+kk,4. podlaží,Cihlová,Velmi dobrý,,,3,,Třída G - Mimořádně nehospodárná,Družstevní,,2,,,,ekonomika bydlení v textu inzerce
2026-03-01,2468701004,Pronájem bytu 1+kk 15 m²,"Na břevnovské pláni, Praha 6 - Břevnov",Praha 6,Břevnov,12000,15,1+kk,1. podlaží z celkem 4,Cihlová,Velmi dobrý,False,,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,Ústřední dálkové,,+ 3 000 Kč poplatky včetně elektřiny
2026-03-01,2417255244,Pronájem bytu 1+kk 42 m²,"Rohanské nábřeží, Praha 8 - Karlín",Praha 8,Karlín,25000,42,1+kk,4. podlaží z celkem 8 včetně 2 podzemních,Cihlová,Velmi dobrý,Částečně,True,,10,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,1,2,,,,"+ 4.400 Kč záloha na služby, + elektřina v bytě, + 25.000 Kč kauce, + 30.250 Kč provize RK"
2026-03-01,823419724,Pronájem  pokoje 15 m²,"Radlická, Praha 5 - Smíchov",Praha 5,Smíchov,10500,15,,2. podlaží,Cihlová,Po rekonstrukci,,,,,,Osobní,,,,,,
2026-03-01,2260394828,Pronájem bytu 2+kk 79 m²,"Holečkova, Praha 5 - Smíchov",Praha 5,Smíchov,62456,79,2+kk,3. podlaží z celkem 7,Smíšená,Novostavba,True,True,,9,Třída B - Velmi úsporná,Osobní,,,,,,"cena nájmu je včetně služeb, poplatků a internetu + kauce a provize RK"
2026-03-01,3456394060,Pronájem bytu 2+1 77 m²,"Pod sokolovnou, Praha 4 - Nusle",Praha 4,Nusle,25000,77,2+1,3. podlaží z celkem 5,Cihlová,Dobrý,True,,4,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,6,,Ústřední plynové,,+ poplatky + el. + plyn + odměna za zprostředkování
