scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-17,2746114892,Pronájem bytu 1+kk 59 m²,"Boleslavova, Praha 4 - Nusle",Praha 4,Nusle,23000,59,1+kk,1. podlaží z celkem 3,Cihlová,Novostavba,False,True,True,25,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,True,,,"+ poplatky 3.500,-Kč"
2026-02-17,209126220,Pronájem bytu 3+1 105 m²,"Na rozdílu, Praha 6 - Vokovice",Praha 6,Vokovice,29000,105,3+1,7. podlaží z celkem 9,Smíšená,Velmi dobrý,False,True,True,,Třída G - Mimořádně nehospodárná,Osobní,True,True,,,,+ poplatky/měsíc: 5100 Kč + převod na nájemce: elektřina + plyn
2026-02-17,2276352844,Pronájem bytu 3+kk 73 m²,"Palmovka, Praha 8 - Libeň",Praha 8,Libeň,37000,73,3+kk,1. podlaží z celkem 6,Cihlová,Po rekonstrukci,Částečně,True,,,Třída E - Nehospodárná č. 148/2007 Sb. podle vyhlášky,Osobní,,,,,,"+ poplatky 6.600,-Kč (včetně elektřiny)"
2026-02-17,4179583820,Pronájem bytu 1+kk 32 m² (Jednopodlažní),"Mukařovského, Praha 5 - Stodůlky",Praha 5,Stodůlky,22900,32,1+kk,4. podlaží,Skeletová,Velmi dobrý,True,True,3,,,Osobní,,,,,Jednopodlažní,"bez provize, vratná kauce ve výši dvou měsíčních nájmů"
2026-02-17,2665374540,Pronájem bytu 3+kk 85 m²,"U michelského mlýna, Praha 4 - Michle",Praha 4,Michle,37000,85,3+kk,2. podlaží z celkem 4 včetně 1 podzemního,Smíšená,Velmi dobrý,Částečně,True,,True,Třída G - Mimořádně nehospodárná,Osobní,1,,,Jiné,,
2026-02-17,3705561932,Pronájem bytu 6 pokojů a více 168 m²,"Strojnická, Praha 7 - Holešovice",Praha 7,Holešovice,60000,168,,5. podlaží,Cihlová,Po rekonstrukci,,False,True,,Třída B - Velmi úsporná,Osobní,,,,,,
2026-02-17,2732483404,Pronájem bytu 1+kk 23 m²,"Děčínská, Praha 8 - Střížkov",Praha 8,Střížkov,13000,23,1+kk,6. podlaží,Panelová,Velmi dobrý,False,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"bez poplatků, + provize RK"
2026-02-17,551445324,Pronájem bytu 2+kk 43 m²,"Vrtbova, Praha 4 - Nusle",Praha 4,Nusle,27000,43,2+kk,2. podlaží,Cihlová,Novostavba,,True,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,1,True,,Ústřední dálkové,,"+ provize + kauce + služby cca 4.000,-Kč + vlastní spotřeba el.en."
2026-02-17,2011063116,Pronájem bytu 3+kk 90 m²,"Kabešova, Praha 9 - Vysočany",Praha 9,Vysočany,33000,90,3+kk,6. podlaží z celkem 7,Cihlová,Velmi dobrý,Částečně,True,,150,Třída G - Mimořádně nehospodárná,Osobní,,5,True,,,"+ poplatky za služby a energie 6.300,- Kč + elektřina, jistota 50.000,- Kč, + provize RK"
2026-02-17,2766037836,Pronájem bytu 2+1 60 m²,"Pod Čertovou skalou, Praha 8 - Libeň",Praha 8,Libeň,23000,60,2+1,3. podlaží z celkem 4,Cihlová,Velmi dobrý,,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,True,,,Lokální elektrické,,+ 1000 Kč na osobu plus převod elektřiny
2026-02-17,4108215116,Pronájem bytu 4+kk 187 m²,"Rašínovo nábřeží, Praha 2 - Nové Město",Praha 2,Nové Město,175000,187,4+kk,2. podlaží z celkem 3,Cihlová,Velmi dobrý,True,True,True,,Třída E - Nehospodárná,Osobní,,,,,,+ poplatky/měsíc: 6000 Kč + převod na nájemce: elektřina + plyn
2026-02-17,2597217100,Pronájem bytu 2+kk 58 m²,"Jaromírova, Praha 2 - Nusle",Praha 2,Nusle,27500,58,2+kk,3. podlaží z celkem 6,Cihlová,Po rekonstrukci,Částečně,True,,,Třída E - Nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,3,,,,"+ 4 000 Kč poplatky + přepis elektroměru (cca 1 000 Kč), Kauce 31 500 Kč, Provize RK 27 500 Kč"
2026-02-17,3939394380,Pronájem bytu 2+kk 67 m²,"U Mlýnského kanálu, Praha 8 - Karlín",Praha 8,Karlín,32000,67,2+kk,5. podlaží z celkem 7,Smíšená,Novostavba,,,,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,
2026-02-17,2043568972,Pronájem bytu 5+kk 85 m²,"Kovanecká, Praha 9 - Libeň",Praha 9,Libeň,32000,85,5+kk,přízemí z celkem 8,Panelová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Osobní,,True,True,Lokální elektrické,,
2026-02-17,4274938700,Pronájem bytu 2+kk 63 m² (Jednopodlažní),"28. pluku, Praha 10 - Vršovice",Praha 10,Vršovice,28000,63,2+kk,6. podlaží z celkem 7 včetně 1 podzemního,Cihlová,Po rekonstrukci,,True,,,Třída G - Mimořádně nehospodárná,Osobní,,2,,,Jednopodlažní,"Nájemné 28 000Kč, služby vč. topení a vody 5 000Kč, el. energie 1 500Kč, kauce 56 000Kč, provize RK 28 000Kč"
2026-02-17,533619532,Pronájem bytu 1+kk 26 m²,"Přípotoční, Praha 10 - Vršovice",Praha 10,Vršovice,18000,26,1+kk,1. podlaží z celkem 7 včetně 1 podzemního,Cihlová,Po rekonstrukci,False,True,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,Ústřední plynové,,"měsíční záloha za služby 2 900 Kč, vratná kauce 18 000 Kč, odměna zprostředkovatele 18 000 Kč"
