scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-03-03,240735052,Pronájem bytu 1+kk 26 m²,"Svornosti, Praha 5 - Smíchov",Praha 5,Smíchov,16000,26,1+kk,3. podlaží z celkem 5 včetně 1 podzemního,Cihlová,Velmi dobrý,Částečně,True,,,,Osobní,,,,,,plus poplatky
2026-03-03,3210302284,Pronájem bytu 2+kk 40 m²,"Ke Strašnické, Praha 10 - Strašnice",Praha 10,Strašnice,19000,40,2+kk,5. podlaží z celkem 12 včetně 1 podzemního,Panelová,Velmi dobrý,False,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,3,5,,,
2026-03-03,3445183308,Pronájem bytu 2+kk 56 m²,"Pod Harfou, Praha 9 - Vysočany",Praha 9,Vysočany,19000,56,2+kk,5. podlaží,Cihlová,Novostavba,,,True,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,+ poplatky
2026-03-03,307843916,Pronájem bytu 3+kk 60 m²,"Kukučínova, Praha 4 - Krč",Praha 4,Krč,23500,60,3+kk,2. podlaží,Panelová,Po rekonstrukci,,,,,,Osobní,,1,7,,,"plus zálohy na služby 5.100 Kč (2 os, každáý další 1.000 Kč) + elektřina"
2026-03-03,1650021196,Pronájem bytu 2+kk 52 m² (Jednopodlažní),"Waltariho, Praha 9 - Hloubětín",Praha 9,Hloubětín,28000,52,2+kk,2. podlaží z celkem 10,Cihlová,Velmi dobrý,,True,5,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,Jednopodlažní,
2026-03-03,811160396,Pronájem bytu 1+kk 26 m²,"Přípotoční, Praha 10 - Vršovice",Praha 10,Vršovice,17000,26,1+kk,1. podlaží z celkem 7 včetně 1 podzemního,Cihlová,Po rekonstrukci,False,True,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,Ústřední plynové,,"měsíční záloha za služby 2 900 Kč, vratná kauce 17 000 Kč, odměna zprostředkovatele 17 000 Kč"
2026-03-03,4259009356,Pronájem bytu 2+kk 53 m²,"Hadovitá, Praha 4 - Michle",Praha 4,Michle,22000,53,2+kk,1. podlaží z celkem 5,Cihlová,Novostavba,False,True,,20,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,Ústřední dálkové,,"+ poplatky 5000,-Kč, převod elektřiny, kauce, provize"
2026-03-03,2522436428,Pronájem bytu 2+1 72 m²,"Na Louži, Praha 10 - Vršovice",Praha 10,Vršovice,29000,72,2+1,3. podlaží z celkem 4,Cihlová,Novostavba,Částečně,True,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,
2026-03-03,3025752908,Pronájem bytu 4+1 97 m² (Jednopodlažní),"Chabařovická, Praha 8 - Kobylisy",Praha 8,Kobylisy,29500,97,4+1,14. podlaží z celkem 15,Panelová,Velmi dobrý,Částečně,True,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,7,,Jednopodlažní,
2026-03-03,3562623820,Pronájem bytu 1+kk 36 m²,"Kryšpínova, Praha 10 - Dolní Měcholupy",Praha 10,Dolní Měcholupy,18000,36,1+kk,3. podlaží z celkem 6,Skeletová,Novostavba,False,True,5,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,True,,,Ústřední dálkové,,plus poplatky 5000 vč. elektřiny
2026-03-03,977883980,Pronájem bytu 4+kk 109 m²,"Nad vodovodem, Praha 10 - Strašnice",Praha 10,Strašnice,47500,109,4+kk,2. podlaží z celkem 6,Montovaná,Novostavba,False,True,True,,,Osobní,True,True,True,Ústřední dálkové,,"vratná jistota, náklady na bydlení 6394 Kč, poplatek za podnájem"
2026-03-03,2856932172,Pronájem bytu 4+kk 103 m² (Jednopodlažní),"Štěpánská, Praha 1 - Nové Město",Praha 1,Nové Město,65000,103,4+kk,3. podlaží z celkem 6,Cihlová,Velmi dobrý,True,True,,,,Osobní,,2,,,Jednopodlažní,"včetně DPH, bez poplatků, + provize RK, včetně právního servisu"
2026-03-03,3361428300,Pronájem bytu 1+kk 31 m² (Jednopodlažní),"Bachova, Praha 4 - Chodov",Praha 4,Chodov,16000,31,1+kk,5. podlaží z celkem 8 včetně 1 podzemního,Panelová,Dobrý,,,,,Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,True,True,,Jednopodlažní,
2026-03-03,2336838476,Pronájem bytu 2+kk 56 m²,"K metru, Praha 5 - Třebonice",Praha 5,Třebonice,26000,56,2+kk,4. podlaží,Cihlová,Velmi dobrý,True,True,5,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,Nájemné: 26000 Kč/měsíc  Poplatky: cca 4 587 Kč/měsíc  Elektřina: převádí se na najemce  Kauce: 52 000 Kč  Provize: 26 000 Kč
2026-03-03,2087351116,Pronájem bytu 2+1 54 m²,"Arménská, Praha 10 - Vršovice",Praha 10,Vršovice,24900,54,2+1,2. podlaží z celkem 6,Cihlová,Velmi dobrý,False,True,True,,,Osobní,,,,Ústřední dálkové,,"vratná jistota, zúčtovatelné zálohy 3.610,- Kč, poplatek za podnájem"
2026-03-03,4249551692,Pronájem bytu 2+kk 46 m²,"Seifertova, Praha 3 - Žižkov",Praha 3,Žižkov,20000,46,2+kk,3. podlaží z celkem 4,Cihlová,Velmi dobrý,Částečně,False,,,,Osobní,,,,Lokální elektrické,,"vratná jistota  , náklady na bydlení 3723 Kč, poplatek za podnájem"
2026-03-03,2840154956,Pronájem bytu 1+kk 34 m²,"Plzeňská, Praha 5 - Košíře",Praha 5,Košíře,18000,34,1+kk,3. podlaží,Cihlová,Po rekonstrukci,,,,,,Osobní,,,,,,
2026-03-03,2890486604,Pronájem bytu 3+kk 55 m²,"náměstí Hrdinů, Praha 4 - Nusle",Praha 4,Nusle,23990,55,3+kk,2. podlaží,Cihlová,Velmi dobrý,True,True,,,Třída E - Nehospodárná č. 78/2013 Sb. podle vyhlášky,Osobní,,True,,,,+ poplatky vč. elektřiny a plynu 3.244 Kč/měsíc/2 os. (každá další osoba za příplatek)
2026-03-03,3639300940,Pronájem bytu 1+kk 24 m²,"Rostovská, Praha 10 - Vršovice",Praha 10,Vršovice,18000,24,1+kk,2. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,,
2026-03-03,4011520844,Pronájem bytu 3+1 80 m²,"Koubkova, Praha 2 - Vinohrady",Praha 2,Vinohrady,27000,80,3+1,3. podlaží,Cihlová,Po rekonstrukci,,False,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"+ 700 Kč poplatky, elektřina se převádí na nájemce"
2026-03-03,2988847948,Pronájem bytu 2+1 65 m²,"Koubkova, Praha 2 - Vinohrady",Praha 2,Vinohrady,24000,65,2+1,2. podlaží,Cihlová,Velmi dobrý,,False,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"+ 700 Kč na osobu, elektřina a plyn se převádí"
2026-03-03,2454278988,Pronájem bytu 1+kk 27 m²,"Táborská, Praha - Nusle",,,17500,27,1+kk,4. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,,
2026-03-03,1615418188,Pronájem bytu 1+kk 30 m² (Jednopodlažní),"Petrohradská, Praha 10 - Vršovice",Praha 10,Vršovice,18000,30,1+kk,5. podlaží,Cihlová,Velmi dobrý,True,True,,,Třída B - Velmi úsporná,Osobní,,,5,,Jednopodlažní,
2026-03-03,558453580,Pronájem bytu 3+kk 73 m²,"Písečná, Praha 8 - Troja",Praha 8,Troja,26000,73,3+kk,4. podlaží,Panelová,Velmi dobrý,False,True,,,,Osobní,,2,7,,,plus služby 4.400 Kč + elekřina a plyn (cca 1.100 Kč)
2026-03-03,105468748,Pronájem bytu 2+kk 43 m²,"Ovčí hájek, Praha 5 - Stodůlky",Praha 5,Stodůlky,23490,43,2+kk,3. podlaží,Panelová,Velmi dobrý,Částečně,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ poplatky 2.319 Kč/měsíc/2 os. (každá další osoba za příplatek) + elektřina, která bude převedena na nájemníka"
2026-03-03,3830010700,Pronájem bytu 2+kk 58 m²,"Krymská, Praha 10 - Vršovice",Praha 10,Vršovice,23900,58,2+kk,5. podlaží,Cihlová,Po rekonstrukci,,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,Ústřední plynové,,+ poplatky 1.000 Kč/ osoba + energie (cca 3.000 Kč) + kauce + provize
2026-03-03,1430868812,Pronájem bytu 3+kk 55 m² (Jednopodlažní),"Nekvasilova, Praha 8 - Karlín",Praha 8,Karlín,29000,55,3+kk,2. podlaží z celkem 8,Panelová,Velmi dobrý,,True,,,,Osobní,,,,,Jednopodlažní,+ 5.000 Kč zúčtovatelné zálohy + el. a plyn na naájemce + provize + kauce
2026-03-03,3111736140,Pronájem bytu 2+kk 49 m²,"Viktorinova, Praha 4 - Nusle",Praha 4,Nusle,23000,49,2+kk,2. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,,
2026-03-03,2121880396,Pronájem bytu 1+kk 50 m²,"Na Rokytce, Praha 8 - Libeň",Praha 8,Libeň,22990,50,1+kk,4. podlaží,Cihlová,Velmi dobrý,Částečně,True,,,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,"+ poplatky 1.337 Kč/měsíc/1 os. (každá další osoba za příplatek) + elektřina a plyn, které budou převedeny na nájemníka"
2026-03-03,3984151372,Pronájem bytu 2+1 76 m²,"Madridská, Praha 10 - Vršovice",Praha 10,Vršovice,29000,76,2+1,2. podlaží z celkem 7,Cihlová,Velmi dobrý,False,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"+ služby (cca 3tis.) + elektřina a plyn, vratná kauce ve výši 2 nájmů, provize RK"
2026-03-03,880366412,Pronájem bytu 2+kk 47 m²,"V Jirchářích, Praha 1 - Nové Město",Praha 1,Nové Město,23900,47,2+kk,4. podlaží,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ 3400 kč zálohy na služby (včetně internetu) + elektřina (1000 kč) + plyn (2000 kč), kauce 30000 kč, provize 27 300 kč + DPH"
2026-03-03,4101591884,Pronájem bytu 3+kk 103 m²,"Široká, Praha 1 - Staré Město",Praha 1,Staré Město,60000,103,3+kk,3. podlaží,Cihlová,Velmi dobrý,True,True,2,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,"Záloha na domovní služby, vodu a energie 8500 Kč měsíčně. "
2026-03-03,2239320908,Pronájem bytu 2+kk 69 m²,"V Přístavu, Praha 7 - Holešovice",Praha 7,Holešovice,34000,69,2+kk,3. podlaží,Smíšená,Velmi dobrý,Částečně,True,,,Třída G - Mimořádně nehospodárná,Osobní,True,,12,,,+ Poplatky viz text
2026-03-03,4271137612,Pronájem bytu 2+kk 43 m² (Jednopodlažní),"Husníkova, Praha 5 - Stodůlky",Praha 5,Stodůlky,20000,43,2+kk,8. podlaží z celkem 8 včetně 1 podzemního,Panelová,Dobrý,Částečně,True,,,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,True,6,,Jednopodlažní,"včetně DPH, bez poplatků, + provize RK, včetně právního servisu"
2026-03-03,4217983820,Pronájem bytu 1+kk 22 m²,"Kotěrova, Praha 6 - Dejvice",Praha 6,Dejvice,13000,22,1+kk,4. podlaží,Cihlová,Velmi dobrý,,False,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,+ Poplatky viz text
2026-03-03,2406044492,Pronájem bytu 1+kk 37 m²,"Hornoměcholupská, Praha 10 - Horní Měcholupy",Praha 10,Horní Měcholupy,15000,37,1+kk,6. podlaží z celkem 7 včetně 2 podzemních,Smíšená,Velmi dobrý,False,True,7,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,+ poplatky 5.000 včetně el.
2026-03-03,1130976076,Pronájem bytu 3+kk 70 m²,"Pujmanové, Praha 4 - Nusle",Praha 4,Nusle,23000,70,3+kk,5. podlaží z celkem 8,Panelová,Velmi dobrý,False,,,,,Družstevní,,True,,Ústřední plynové,,"+ 4.600,- / 2 osoby (elektřina, voda, teplo, TUV, výtah, odvoz odpadu...)"
2026-03-03,6902604,Pronájem bytu 1+1 40 m²,"Varšavská, Praha 2 - Vinohrady",Praha 2,Vinohrady,19000,40,1+1,1. podlaží z celkem 5,Cihlová,Dobrý,False,False,,,Třída D - Méně úsporná,Osobní,,,,Ústřední plynové,,
2026-03-03,2976469836,Pronájem bytu 2+kk 53 m² (Jednopodlažní),"Michelangelova, Praha 10 - Strašnice",Praha 10,Strašnice,27500,53,2+kk,2. podlaží,Cihlová,Velmi dobrý,Částečně,True,8,,Třída B - Velmi úsporná,Osobní,,4,,,Jednopodlažní,"náklady na bydlení celkem 6005 Kč:
- energie - 537 Kč
- služby - 1 osoba 5423 Kč, 2 osoby 5468 Kč"
2026-03-03,124343116,Pronájem bytu 2+kk 52 m²,"Olgy Havlové, Praha 3 - Žižkov",Praha 3,Žižkov,29900,52,2+kk,52. podlaží,Smíšená,Novostavba,True,True,17,17,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,1,,17,,,
2026-03-03,4150874956,Pronájem bytu 1+kk 32 m²,"U Měšťanského pivovaru, Praha 7 - Holešovice",Praha 7,Holešovice,20000,32,1+kk,7. podlaží z celkem 7,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Osobní,,,,,,"5.000,-Kč poplatky"
2026-03-03,3026801484,Pronájem bytu 2+1 95 m²,"Armádního sboru, Praha 10 - Dolní Měcholupy",Praha 10,Dolní Měcholupy,28000,95,2+1,2. podlaží z celkem 2,Cihlová,Po rekonstrukci,,,14,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,Lokální plynové,,"Domovní a bytové služby včetně spotřeb vody, el. energie a plynu v bytě ve výši 7.000 Kč"
2026-03-03,2506707788,Pronájem bytu 2+kk 68 m²,"Na Srážku, Praha 4 - Modřany",Praha 4,Modřany,35000,68,2+kk,1. podlaží z celkem 7,Cihlová,Novostavba,False,True,,110,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,5,,,,včetně garážového stání + záloha na poplatky 6.000 Kč včetně energií. Kauce 2x nájem + provize RK.
2026-03-03,3807552332,Pronájem bytu 2+kk 50 m² (Jednopodlažní),"Ječná, Praha - Nové Město",,,24000,50,2+kk,2. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,Jednopodlažní,
2026-03-03,513430348,Pronájem bytu 4+kk 114 m²,"Tryskovická, Praha 9 - Třeboradice",Praha 9,Třeboradice,38000,114,4+kk,3. podlaží z celkem 5,Skeletová,Novostavba,Částečně,True,6,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,1,6,,,,
