scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-13,1788502860,Pronájem bytu 1+kk 30 m²,"Za Hanspaulkou, Praha 6 - Dejvice",Praha 6,Dejvice,14000,30,1+kk,přízemí z celkem 4 včetně 1 podzemního,Cihlová,Po rekonstrukci,True,,,,Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,Lokální plynové,,"+  2.000,- poplatky včetně energií"
2026-02-13,2914607948,Pronájem bytu 2+kk 59 m²,"Československého exilu, Praha 4 - Modřany",Praha 4,Modřany,29500,59,2+kk,8. podlaží z celkem 9 včetně 3 podzemních,Cihlová,Novostavba,Částečně,True,8,,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,1,3,,,,"Služby 5 500, + záloha na el."
2026-02-13,2653225804,Pronájem bytu 1+kk 32 m²,"Houdova, Praha 5 - Košíře",Praha 5,Košíře,13900,32,1+kk,3. podlaží z celkem 3,Cihlová,Velmi dobrý,Částečně,False,,,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,Ústřední dálkové,,"Zálohy na služby činí 1500,- Kč / 1 osoba + 500,- Kč další osoba, elektřina bude převedena na nájemce"
2026-02-13,649683788,Pronájem bytu 5+kk 196 m² (Podkrovní),"Komunardů, Praha 7 - Holešovice",Praha 7,Holešovice,120000,196,5+kk,7. podlaží z celkem 7,Skeletová,Dobrý,,,,,,Osobní,,True,,,Podkrovní,"Bez provize. Přímo od majitele., Poplatky za garáž: 573 Kč / měsíc"
2026-02-13,1689871180,Pronájem bytu 1+kk 40 m²,"Uruguayská, Praha 2 - Vinohrady",Praha 2,Vinohrady,24500,40,1+kk,1. podlaží,Cihlová,Novostavba,,,,16,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,Záloha na společné domovní služby a vodu 2600 Kč měsíčně. Elektřina se hradí zvlášť.
2026-02-13,632906572,Pronájem bytu 4+1 135 m² (Jednopodlažní),"U Havlíčkových sadů, Praha",,,55000,135,4+1,2. podlaží,Cihlová,Dobrý,,,5,,,Osobní,,,,,Jednopodlažní,
2026-02-13,1975083852,Pronájem bytu 2+kk 75 m²,"Schnirchova, Praha 7 - Holešovice",Praha 7,Holešovice,26000,75,2+kk,5. podlaží z celkem 5,Cihlová,Dobrý,False,True,,,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,Poplatky 1.500 Kč + elektřina a plyn
2026-02-13,4205405004,Pronájem bytu 3+1 73 m² (Jednopodlažní),"Vokrojova, Praha 4 - Modřany",Praha 4,Modřany,26000,73,3+1,7. podlaží,Panelová,Dobrý,,True,,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,3,3,,Jednopodlažní,
2026-02-13,3400098636,Pronájem bytu 2+1 57 m²,"Jasmínová, Praha 10 - Záběhlice",Praha 10,Záběhlice,20000,57,2+1,2. podlaží z celkem 8,Panelová,Velmi dobrý,False,True,True,,Třída G - Mimořádně nehospodárná,Osobní,,True,,Ústřední dálkové,,"vratná jistota, náklady na bydlení 5 200 Kč, poplatek za podnájem"
2026-02-13,2723550028,Pronájem bytu 2+1 52 m²,"Písecká, Praha 3 - Vinohrady",Praha 3,Vinohrady,26500,52,2+1,2. podlaží z celkem 7,Cihlová,Dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,True,,Ústřední dálkové,,"vratná kauce, náklady na bydlení 5.324 Kč, poplatek za podnájem"
2026-02-13,3383321420,Pronájem bytu 2+kk 73 m² (Loft),"Československého exilu, Praha 4 - Modřany",Praha 4,Modřany,60000,73,2+kk,5. podlaží z celkem 15,Cihlová,Novostavba,True,True,,31,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,1,,,,Loft,"Poplatky 10.000,- Kč/měsíc"
