scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-15,167473996,Pronájem bytu 2+kk 49 m²,"Grafická, Praha 5 - Smíchov",Praha 5,Smíchov,19500,49,2+kk,4. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,,"+ poplatky 3.600 Kč, elektřina na nájemce, Provize RK 24.000 + 21%DPH"
2026-02-15,3185075020,Pronájem bytu 2+1 65 m²,"U Plynárny, Praha",,,20000,65,2+1,2. podlaží,Cihlová,Po rekonstrukci,,,,,,Osobní,,2,,,,Informace v kanceláři
2026-02-15,2748867404,Pronájem bytu 1+kk 30 m² (Jednopodlažní),"Kolčavka, Praha 9 - Libeň",Praha 9,Libeň,22900,30,1+kk,2. podlaží,Cihlová,Po rekonstrukci,,,,,,Družstevní,,,,,Jednopodlažní,
2026-02-15,1624793932,Pronájem bytu 3+1 80 m² (Jednopodlažní),"Ohradní, Praha 4 - Michle",Praha 4,Michle,23000,80,3+1,5. podlaží z celkem 9,Panelová,Po rekonstrukci,False,True,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Družstevní,,3,6,Ústřední dálkové,Jednopodlažní,"+ 5000,-Kč zálohy na služby + elektřinu a plyn cca 1500,-Kč"
2026-02-15,2446877516,Pronájem bytu 1+kk 27 m²,"Biskupský dvůr, Praha - Nové Město",,,21000,27,1+kk,5. podlaží,Cihlová,Velmi dobrý,,True,,26,,Osobní,,,,,,
2026-02-15,3789054796,Pronájem bytu 2+1 64 m² (Podkrovní),"Doudova, Praha 4 - Podolí",Praha 4,Podolí,28000,64,2+1,4. podlaží včetně 1 podzemního,Smíšená,Velmi dobrý,Částečně,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,7,,,Podkrovní,cena je uvedena včetně nákladů na bydlení
2026-02-15,400057164,Pronájem bytu 2+1 55 m²,"Štítného, Praha 3 - Žižkov",Praha 3,Žižkov,27500,55,2+1,2. podlaží,Cihlová,Velmi dobrý,True,True,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,True,,,,,"Záloha na společné služby, spotřebu vody a vytápění a elektřinu 6.000 Kč/měs. "
2026-02-15,3621282636,Pronájem bytu 3+kk 51 m²,"V lesíčku, Praha 5 - Smíchov",Praha 5,Smíchov,28900,51,3+kk,6. podlaží z celkem 7,Cihlová,Velmi dobrý,False,True,,,,Osobní,,,,Ústřední plynové,,"vratná jistota, náklady na bydlení 4 923 Kč, poplatek za podnájem"
2026-02-15,1960338252,Pronájem bytu 2+kk 52 m²,"Jihlavská, Praha 4 - Michle",Praha 4,Michle,25000,52,2+kk,2. podlaží,Cihlová,Po rekonstrukci,False,True,,34,,Osobní,,,,,,
2026-02-15,1440244556,Pronájem bytu 1+kk 25 m² (Jednopodlažní),"Biskupský dvůr, Praha 1 - Nové Město",Praha 1,Nové Město,17000,25,1+kk,4. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,Jednopodlažní,
2026-02-15,734552908,Pronájem bytu 1+kk 24 m²,"Jihlavská, Praha 4 - Michle",Praha 4,Michle,15500,24,1+kk,3. podlaží,Cihlová,Po rekonstrukci,,,,,,Osobní,,,,,,
2026-02-15,2659803980,Pronájem bytu 1+kk 22 m²,"Prokopova, Praha 3 - Žižkov",Praha 3,Žižkov,16000,22,1+kk,5. podlaží,Cihlová,Dobrý,,,,,,Osobní,,,,,,
2026-02-15,768107340,Pronájem bytu 2+kk 69 m²,"Marty Krásové, Praha 9 - Čakovice",Praha 9,Čakovice,24000,69,2+kk,5. podlaží z celkem 5,Smíšená,Novostavba,True,True,4,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"+ poplatky, + kauce,+ provize RK"
2026-02-15,1048720204,Pronájem bytu 2+1 116 m²,"Žatecká, Praha 1 - Josefov",Praha 1,Josefov,38000,116,2+1,2. podlaží z celkem 5 včetně 1 podzemního,Smíšená,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,+ služby + energie + kauce
2026-02-15,1674077004,Pronájem bytu 2+kk 45 m² (Podkrovní),"Hradešínská, Praha",,,24000,45,2+kk,6. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,True,,,Podkrovní,elektřina se převádí na nájemce
2026-02-15,1086874444,Pronájem bytu 1+kk 33 m² (Jednopodlažní),"Waltariho, Praha 9 - Hloubětín",Praha 9,Hloubětín,23000,33,1+kk,1. podlaží,Cihlová,Novostavba,True,True,,23,Třída B - Velmi úsporná,Osobní,,,,,Jednopodlažní,4014 Kč - poplatky a cca 900Kč elektřina
2026-02-15,29909836,Pronájem bytu 1+1 37 m² (Jednopodlažní),"U družstva Repo, Praha",,,18000,37,1+1,4. podlaží z celkem 6 včetně 1 podzemního,Cihlová,Velmi dobrý,Částečně,False,1,,,Družstevní,,6,,,Jednopodlažní,
2026-02-15,2885182284,Pronájem bytu 2+1 59 m²,"Jeseniova, Praha 3 - Žižkov",Praha 3,Žižkov,20000,59,2+1,3. podlaží z celkem 6,Cihlová,Po rekonstrukci,,,,,Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,Domovní a bytové služby 1.300 Kč za 1 osobu (za 2. osobu + 700 Kč) + spotřeba el. energie a plynu.
2026-02-15,2350056268,Pronájem bytu 2+kk 55 m²,"Patočkova, Praha 6 - Břevnov",Praha 6,Břevnov,25000,55,2+kk,3. podlaží z celkem 9 včetně 2 podzemních,Cihlová,Novostavba,Částečně,,,,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,1,,,,,+energie a služby
2026-02-15,469328716,Pronájem bytu 1+kk 32 m²,"Nurmiho, Praha 10 - Hostivař",Praha 10,Hostivař,14400,32,1+kk,3. podlaží z celkem 5 včetně 1 podzemního,Skeletová,Novostavba,,True,True,,Třída B - Velmi úsporná,Osobní,,,,Ústřední dálkové,,"+ 4.200,-Kč služby + převod elektřiny na nájemce"
2026-02-15,754475852,Pronájem bytu 2+kk 56 m²,"Zimova, Praha 4 - Kamýk",Praha 4,Kamýk,23500,56,2+kk,2. podlaží z celkem 3,Cihlová,Velmi dobrý,False,True,16,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,1,2,,,,
2026-02-15,1819829068,Pronájem bytu 2+kk 49 m²,"Ortenovo náměstí, Praha 7 - Holešovice",Praha 7,Holešovice,28000,49,2+kk,5. podlaží z celkem 7,Cihlová,Po rekonstrukci,False,True,,,Třída E - Nehospodárná č. 264/2020 Sb. podle vyhlášky,Družstevní,,,,,,"+ 5240 Kč/měs. záloha na poplatky + převod elektroměru, 35 000 Kč vratná kauce"
2026-02-15,468214604,Pronájem bytu 1+kk 34 m²,"Velké Kunratické, Praha 4 - Kunratice",Praha 4,Kunratice,15000,34,1+kk,3. podlaží,Cihlová,Velmi dobrý,,,True,,,Osobní,,,,,,15.000 Kč/měs. + 4.000 Kč poplatky pro 2 os. + 19.000 Kč vratná kauce + 19.000 Kč provize RK
2026-02-15,1508401996,Pronájem bytu 1+kk 34 m²,"Nuselská, Praha 4 - Nusle",Praha 4,Nusle,15900,34,1+kk,4. podlaží,Cihlová,Velmi dobrý,,,True,,,Osobní,,,,,,15.900 Kč + 2500 Kč poplatky pro dvě osoby + 18.400 Kč vratná kauce + 18.400 Kč provize RK
2026-02-15,585655116,Pronájem bytu 2+kk 57 m²,"Zemské právo, Praha 10 - Hostivař",Praha 10,Hostivař,21000,57,2+kk,2. podlaží z celkem 4,Cihlová,Velmi dobrý,Částečně,True,8,,Třída B - Velmi úsporná,Osobní,,,,,,+ měsíční zálohy na služby a energie 5 000 Kč
2026-02-15,1407738700,Pronájem bytu 1+1 47 m²,"Veleslavínská, Praha 6 - Veleslavín",Praha 6,Veleslavín,22000,47,1+1,2. podlaží z celkem 5,Smíšená,Velmi dobrý,Částečně,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"+ poplatky 1.250,- Kč + Elektřina na nájemce cca 2.000,- Kč/osoba"
