scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-21,942891852,Pronájem bytu 1+kk 37 m²,"Vrbenského, Praha 7 - Holešovice",Praha 7,Holešovice,24100,37,1+kk,1. podlaží z celkem 4,Cihlová,Velmi dobrý,,True,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,"+ služby 2700, kauce 26800"
2026-02-21,3750519628,Pronájem bytu 2+kk 52 m²,"Mánesova, Praha 2 - Vinohrady",Praha 2,Vinohrady,27000,52,2+kk,přízemí,Cihlová,Po rekonstrukci,False,True,,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,1,,,,,"Poplatky 1 700 Kč/os. + energie. Kauce 2 nájmy. RK provize 1 nájem, neplatíte DPH."
2026-02-21,2335023692,Pronájem bytu 3+kk 79 m²,"Truhlářská, Praha 1 - Nové Město",Praha 1,Nové Město,38784,79,3+kk,5. podlaží z celkem 6,Cihlová,Po rekonstrukci,True,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"Poplatky 450 EUR / měs. + DPH. Kauce 2 nájmy. RK provize 1 nájem, neplatíte DPH."
2026-02-21,54682444,Pronájem bytu 1+kk 39 m² (Jednopodlažní),"Klimentská, Praha - Nové Město",,,15950,39,1+kk,3. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,Jednopodlažní,"energie plus 1850,-Kč"
2026-02-21,1776509772,Pronájem bytu 2+kk 48 m²,"Na Kozačce, Praha 2 - Vinohrady",Praha 2,Vinohrady,26000,48,2+kk,3. podlaží z celkem 6,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ služby 3.400 Kč/byt/měsíc + poplatky 2.000 Kč/osoba/měsíc, kauce 1 nájem, provize RK"
2026-02-21,3515638604,Pronájem bytu 2+kk 49 m²,"Jihlavská, Praha 4 - Michle",Praha 4,Michle,25000,49,2+kk,5. podlaží z celkem 6,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,6,,Lokální plynové,,+ poplatky
2026-02-21,4081214284,Pronájem bytu 2+kk 40 m²,"Na Dolinách, Praha 4 - Podolí",Praha 4,Podolí,15000,40,2+kk,přízemí,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,,
2026-02-21,975987532,Pronájem bytu 2+kk 51 m²,"Strnadových, Praha 9 - Vysočany",Praha 9,Vysočany,23000,51,2+kk,6. podlaží z celkem 6,Cihlová,Velmi dobrý,,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,
2026-02-21,272786252,Pronájem bytu 1+kk 26 m²,"Lešenská, Praha 8 - Troja",Praha 8,Troja,17000,26,1+kk,6. podlaží z celkem 8,Panelová,Velmi dobrý,True,True,7,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"+ zálohy na služby 2500 kč + elektřina (800 kč), vratná kauce 19500 kč, provize 19500 kč + DPH"
2026-02-21,1834181452,Pronájem bytu 2+kk 38 m²,"Studentská, Praha 6 - Dejvice",Praha 6,Dejvice,28500,38,2+kk,1. podlaží,Cihlová,Velmi dobrý,True,True,,14,Třída G - Mimořádně nehospodárná,Osobní,,2,,,,"bez DPH, bez poplatků, + provize RK, včetně právního servisu"
