scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-07,1368130380,Pronájem bytu atypické 113 m² (Jednopodlažní),"Pod Klaudiánkou, Praha 4 - Podolí",Praha 4,Podolí,28500,113,atypicky,1. podlaží,Cihlová,Dobrý,,,,True,,Osobní,,,,,Jednopodlažní,
2026-02-07,1291977548,Pronájem bytu 1+kk 35 m²,"Křížová, Praha 5 - Smíchov",Praha 5,Smíchov,16000,35,1+kk,3. podlaží z celkem 5,Smíšená,Po rekonstrukci,True,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,True,,,,,"+ poplatky 5.500,-Kč (včetně energií a WiFi, bez následných vyúčtování)"
2026-02-07,599487308,Pronájem bytu 3+kk 87 m²,"Strakonická, Praha 5 - Smíchov",Praha 5,Smíchov,35000,87,3+kk,4. podlaží z celkem 6,Cihlová,Po rekonstrukci,Částečně,True,1,True,,Osobní,,4,True,,,"+ poplatky 6.886,-Kč (včetně elektřiny a plynu)"
2026-02-07,3661460300,Pronájem bytu 1+kk 25 m² (Loft),"Holečkova, Praha 5 - Smíchov",Praha 5,Smíchov,23000,25,1+kk,1. podlaží z celkem 5,Cihlová,Po rekonstrukci,,,,,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,,,,,Loft,
2026-02-07,1894806348,Pronájem bytu 4+kk 111 m²,"Stočesova, Praha 6 - Ruzyně",Praha 6,Ruzyně,45000,111,4+kk,4. podlaží z celkem 6,Cihlová,Novostavba,False,True,True,10,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,True,4,True,,,"+ poplatky 10.000,-Kč (včetně elektřiny)"
2026-02-07,3619713868,Pronájem bytu 2+kk 67 m²,"Ramonova, Praha 10 - Strašnice",Praha 10,Strašnice,30000,67,2+kk,7. podlaží z celkem 11,Smíšená,Novostavba,True,True,6,True,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,Osobní,True,6,True,,,"+ poplatky 8.500,-Kč (včetně elektřiny)"
2026-02-07,644154188,Pronájem bytu 4+kk 147 m² (Jednopodlažní),"Holečkova, Praha 5 - Smíchov",Praha 5,Smíchov,69000,147,4+kk,3. podlaží,Cihlová,Novostavba,Částečně,True,6,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,True,,,,Jednopodlažní,
2026-02-07,839480140,Pronájem bytu 1+kk 30 m²,"Novgorodská, Praha 10 - Vršovice",Praha 10,Vršovice,17000,30,1+kk,6. podlaží z celkem 6,Cihlová,Novostavba,Částečně,True,,4,Třída C - Úsporná,Osobní,True,,,Ústřední dálkové,,+ poplatky 3.000 Kč + elektřina 500
2026-02-07,2128114508,Pronájem bytu 2+kk 50 m²,"Sokolovská, Praha",,,27000,50,2+kk,1. podlaží z celkem 7 včetně 1 podzemního,Cihlová,Dobrý,True,True,,,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,Družstevní,,2,,,,"bez poplatků, + provize RK"
2026-02-07,1188983628,Pronájem bytu 2+kk 54 m²,"V Háji, Praha 7 - Holešovice",Praha 7,Holešovice,25000,54,2+kk,5. podlaží,Smíšená,Velmi dobrý,False,True,,,Třída G - Mimořádně nehospodárná,Osobní,,3,,,,"bez poplatků, + provize RK"
