scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-24,1305502540,Pronájem bytu 2+kk 45 m² (Podkrovní),"Na Farkáně III, Praha 5 - Radlice",Praha 5,Radlice,19500,45,2+kk,3. podlaží z celkem 3 včetně 1 podzemního,Smíšená,Velmi dobrý,Částečně,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,Podkrovní,"+ poplatky 4000,-Kč včetně zálohy na energie, kauce 1 nájem, + provize pro rk"
2026-02-24,3268436812,Pronájem bytu 4+1 90 m²,"Tererova, Praha 4 - Chodov",Praha 4,Chodov,26990,90,4+1,2. podlaží z celkem 9,Panelová,Velmi dobrý,Částečně,True,True,,Třída G - Mimořádně nehospodárná,Osobní,,True,,,,+ poplatky 6.815 Kč měsíčně / 1 os + elektřina se přepisuje na podnájemníka
2026-02-24,3553649484,Pronájem bytu 3+kk 71 m² (Jednopodlažní),"Sklenská, Praha 9 - Kyje",Praha 9,Kyje,24000,71,3+kk,2. podlaží z celkem 4,Skeletová,Velmi dobrý,,,8,,,Osobní,,,,Ústřední dálkové,Jednopodlažní,+ poplatky
2026-02-24,2676122444,Pronájem bytu 3+kk 70 m²,"Tomášská, Praha 1 - Malá Strana",Praha 1,Malá Strana,39500,70,3+kk,4. podlaží,Cihlová,Velmi dobrý,True,False,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,poplatky včetně energií
2026-02-24,3251659596,Pronájem bytu atypické 884 m²,"Vodičkova, Praha 1 - Nové Město",Praha 1,Nové Město,207000,884,atypicky,4. podlaží z celkem 6,Cihlová,Před rekonstrukcí,,True,,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,"Neplatíte provizi. Plus služby 102000,- Kč vč. topení + elektřina"
2026-02-24,2834240076,Pronájem bytu 2+1 69 m²,"Truhlářská, Praha 1 - Nové Město",Praha 1,Nové Město,38864,69,2+1,4. podlaží,Cihlová,Dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,Provize RK činí 1 měsíční nájem plus 21% DPH.
2026-02-24,963732300,Pronájem bytu 2+1 43 m² (Jednopodlažní),"Mukařovského, Praha 5 - Stodůlky",Praha 5,Stodůlky,25900,43,2+1,7. podlaží,Skeletová,Velmi dobrý,,,,,,Osobní,,,,,Jednopodlažní,Měsíční zálohy za energie a služby 140 Kč / m2 plus 21 % DPH.
2026-02-24,667968332,Pronájem bytu 2+1 64 m²,"Nepilova, Praha 9 - Vysočany",Praha 9,Vysočany,28000,64,2+1,4. podlaží z celkem 7,Smíšená,Velmi dobrý,Částečně,True,10,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,"včetně DPH, bez poplatků, + provize RK, včetně právního servisu"
2026-02-24,2908386124,Pronájem bytu 3+kk 87 m²,"Odborů, Praha 2 - Nové Město",Praha 2,Nové Město,32500,87,3+kk,3. podlaží,Cihlová,Dobrý,True,,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,Poplatky 2 500 Kč. 
2026-02-24,2245026636,Pronájem bytu 3+1 77 m²,"Kozlovská, Praha 6 - Dejvice",Praha 6,Dejvice,24000,77,3+1,2. podlaží,Cihlová,Dobrý,Částečně,False,True,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ zálohy na služby 3500 kč, vratná kauce 28000 kč, provize 24000 kč + DPH"
2026-02-24,1757438796,Pronájem bytu 4+1 160 m²,"Anny Letenské, Praha 2 - Vinohrady",Praha 2,Vinohrady,62500,160,4+1,3. podlaží,Cihlová,Velmi dobrý,False,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,Poplatky za služby a energie se hradí zvlášť.
2026-02-24,3636486988,Pronájem bytu 2+kk 91 m²,"Mánesova, Praha 2 - Vinohrady",Praha 2,Vinohrady,26000,91,2+kk,4. podlaží z celkem 5,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,
2026-02-24,599810892,Pronájem bytu 2+kk 45 m²,"Kyselova, Praha 8 - Kobylisy",Praha 8,Kobylisy,18900,45,2+kk,3. podlaží z celkem 8,Panelová,Velmi dobrý,Částečně,True,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,True,,,,"+ 3500 kč zálohy na služby + elektřina, vratná kauce 22400 kč, provize 18900 kč + DPH"
2026-02-24,2478859084,Pronájem bytu 3+kk 86 m²,"Pod Parukářkou, Praha 3 - Žižkov",Praha 3,Žižkov,30000,86,3+kk,4. podlaží,Cihlová,Velmi dobrý,,,,True,Třída C - Úsporná,Osobní,,,,,,
2026-02-24,2176869196,Pronájem bytu 1+kk 22 m²,"Křivenická, Praha 8 - Čimice",Praha 8,Čimice,12750,22,1+kk,4. podlaží z celkem 4,Panelová,Velmi dobrý,True,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,+ poplatky 1.500 Kč včetně energií. Kauce 20.000 Kč + provize RK.
2026-02-24,1472226124,Pronájem bytu 1+kk 33 m²,"Werichova, Praha 5 - Hlubočepy",Praha 5,Hlubočepy,16500,33,1+kk,3. podlaží z celkem 8,Panelová,Po rekonstrukci,,True,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Osobní,,2,,,,+ poplatky 4 400Kč včetně el. energie + vratná kauce 2 nájmy + provize 
2026-02-24,2227200844,Pronájem bytu 3+1 76 m²,"Chodská, Praha 2 - Vinohrady",Praha 2,Vinohrady,53600,76,3+1,2. podlaží z celkem 4,Smíšená,Velmi dobrý,True,True,True,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,Poplatky za služby + provize 1 měsíční nájem plus 21 % DPH + vratná záloha ve výši 1 měsíčního nájmu.
2026-02-24,1810916172,Pronájem bytu 1+kk 32 m²,"Mukařovského, Praha 5 - Stodůlky",Praha 5,Stodůlky,22900,32,1+kk,4. podlaží z celkem 8,Skeletová,Velmi dobrý,,True,True,,,Státní/obecní,,True,,,,
2026-02-24,2679202636,Pronájem bytu 4+1 160 m²,"Anny Letenské, Praha 2 - Vinohrady",Praha 2,Vinohrady,62500,160,4+1,3. podlaží z celkem 5,Smíšená,Velmi dobrý,False,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ služby a poplatky, kauce 2 nájmy, provize RK"
2026-02-24,2029019980,Pronájem bytu 3+kk 62 m²,"Horní, Praha 4 - Nusle",Praha 4,Nusle,30000,62,3+kk,6. podlaží z celkem 6,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,6,,,,+ služby: 1 000 Kč / osoba + elektřina a plyn na nájemce. Kauce: 30 000 Kč + provize RK.
2026-02-24,4193280844,Pronájem bytu 3+kk 60 m²,Praha 9 - Hloubětín,Praha 9,Hloubětín,28000,60,3+kk,5. podlaží,Cihlová,Po rekonstrukci,Částečně,True,6,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,True,,,,"+ zálohy na služby 5490 kč včetně elektřiny, vratná kauce 32000 kč, provize 28000 kč + DPH."
2026-02-24,1861247820,Pronájem bytu 2+1 40 m² (Jednopodlažní),"Svídnická, Praha 8 - Troja",Praha 8,Troja,19500,40,2+1,3. podlaží z celkem 8 včetně 1 podzemního,Panelová,Velmi dobrý,Částečně,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,Jednopodlažní,+ služby 3.509 Kč + elektřina
2026-02-24,3203425100,Pronájem bytu 2+1 60 m²,"Lucemburská, Praha 3",Praha 3,,24000,60,2+1,2. podlaží z celkem 6,Cihlová,Velmi dobrý,,True,,,Třída G - Mimořádně nehospodárná,Osobní,,True,,,,+ poplatky: viz text
2026-02-24,3229221708,Pronájem bytu 2+kk 48 m²,"Fabiánové, Praha 5 - Hlubočepy",Praha 5,Hlubočepy,22000,48,2+kk,2. podlaží z celkem 8,Cihlová,Novostavba,,True,True,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,+ poplatky
2026-02-24,871392076,Pronájem bytu 3+kk 113 m²,"Sanderova, Praha 7 - Holešovice",Praha 7,Holešovice,50000,113,3+kk,5. podlaží z celkem 9,Smíšená,Velmi dobrý,True,True,21,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,1,15,,,,bez poplatků
2026-02-24,3436258124,Pronájem bytu 2+kk 52 m²,"Čakovická, Praha 9 - Prosek",Praha 9,Prosek,24990,52,2+kk,1. podlaží z celkem 5,Cihlová,Novostavba,False,True,,49,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Družstevní,,4,,Ústřední dálkové,,+ poplatky
