scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-10,1602515788,Pronájem bytu 2+kk 57 m²,"Tlumačovská, Praha 5 - Stodůlky",Praha 5,Stodůlky,23500,57,2+kk,5. podlaží z celkem 21,Smíšená,Velmi dobrý,False,True,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,3,,,,"+ zálohy 3.900,- Kč + převod el. na nájemce"
2026-02-10,3103187788,Pronájem bytu 3+kk 96 m²,"Italská, Praha 2 - Vinohrady",Praha 2,Vinohrady,43596,96,3+kk,2. podlaží z celkem 6,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ fixní služby + poplatky + internet EUR 550/měsíc + DPH, kauce 2 nájmy, provize RK"
2026-02-10,2357490508,Pronájem bytu 2+kk 80 m²,"Tvrdonická, Praha 5 - Zličín",Praha 5,Zličín,23000,80,2+kk,3. podlaží z celkem 4 včetně 1 podzemního,Cihlová,Velmi dobrý,Částečně,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,
2026-02-10,3984880460,Pronájem bytu 3+kk 98 m²,"Italská, Praha 2 - Vinohrady",Praha 2,Vinohrady,43596,98,3+kk,2. podlaží z celkem 5,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,+ domovní poplatky a energie paušál 500 Eur + internet 50 Eur
2026-02-10,3011801932,Pronájem bytu 2+kk 52 m² (Jednopodlažní),"Skuteckého, Praha 6 - Řepy",Praha 6,Řepy,20000,52,2+kk,2. podlaží,Smíšená,Velmi dobrý,Částečně,True,True,,Třída C - Úsporná,Osobní,,True,,,Jednopodlažní,
2026-02-10,1420005964,Pronájem bytu 3+1 120 m²,"Truhlářská, Praha 1 - Nové Město",Praha 1,Nové Město,53284,120,3+1,2. podlaží z celkem 6,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ služby + poplatky + internet EUR 550/měsíc + 21% DPH, kauce 2 nájmy, provize RK"
2026-02-10,3766776652,Pronájem bytu 3+1 70 m² (Jednopodlažní),"Heranova, Praha - Stodůlky",,,24000,70,3+1,3. podlaží,Panelová,Velmi dobrý,,,,,,Osobní,,,7,,Jednopodlažní,
2026-02-10,25457484,Pronájem bytu 2+1 55 m²,"Kratochvílova, Praha 6 - Břevnov",Praha 6,Břevnov,23000,55,2+1,4. podlaží z celkem 5,Panelová,Velmi dobrý,,,,,Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,3,,Ústřední dálkové,,
2026-02-10,1807057740,Pronájem bytu 2+kk 49 m²,"Rostovská, Praha 10 - Vršovice",Praha 10,Vršovice,31300,49,2+kk,4. podlaží,Smíšená,Po rekonstrukci,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,1,,,,,Poplatky za služby + provize 1 měsíční nájem plus 21 % DPH + vratná záloha ve výši 1 měsíčního nájmu.
2026-02-10,749892428,Pronájem bytu 4+kk 120 m²,"Hradešínská, Praha 10 - Vinohrady",Praha 10,Vinohrady,65000,120,4+kk,3. podlaží z celkem 4,Smíšená,Velmi dobrý,Částečně,,,10,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ služby a poplatky 7.000 Kč/měsíc, kauce: 2 nájmy, provize RK"
