scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-08,3750396492,Pronájem bytu 2+kk 45 m²,"Na Slupi, Praha 2 - Nové Město",Praha 2,Nové Město,29000,45,2+kk,4. podlaží z celkem 6,Smíšená,Novostavba,True,True,True,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,True,,,Ústřední plynové,,"poplatky a služby 8 000,- Kč/měsíc, bez PROVIZE"
2026-02-08,3915354700,Pronájem bytu 4+kk 163 m²,"Laubova, Praha 3 - Vinohrady",Praha 3,Vinohrady,124800,163,4+kk,4. podlaží,Cihlová,Velmi dobrý,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,True,,,,, 125 EUR poplatky
2026-02-08,1700004684,Pronájem bytu 2+kk 62 m² (Jednopodlažní),"Klánovická, Praha 9 - Hloubětín",Praha 9,Hloubětín,22900,62,2+kk,4. podlaží,Skeletová,Po rekonstrukci,False,True,,,Třída C - Úsporná,Osobní,,True,True,,Jednopodlažní,
2026-02-08,3250127692,Pronájem bytu 1+kk 34 m² (Jednopodlažní),"Litoměřická, Praha",,,20500,34,1+kk,4. podlaží,Smíšená,Velmi dobrý,,,True,,,Osobní,,,True,,Jednopodlažní,
2026-02-08,2304246604,Pronájem bytu 3+kk 75 m² (Jednopodlažní),"Preslova, Praha - Smíchov",,,32200,75,3+kk,3. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,Jednopodlažní,
2026-02-08,2708566860,Pronájem bytu 1+kk 34 m² (Jednopodlažní),"Štanderova, Praha - Letňany",,,18500,34,1+kk,2. podlaží,Smíšená,Velmi dobrý,,,True,,,Osobní,,,,,Jednopodlažní,
2026-02-08,3643175756,Pronájem bytu 1+1 43 m²,"Věšínova, Praha - Strašnice",,,18000,43,1+1,3. podlaží,Cihlová,Dobrý,False,False,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ popl. za služby 600,-Kč/os. + převod el. energie a plynu, včetně DPH, bez poplatků, + provize RK"
2026-02-08,586117964,Pronájem bytu 1+kk 27 m² (Jednopodlažní),"Svatoslavova, Praha 4 - Nusle",Praha 4,Nusle,18500,27,1+kk,3. podlaží z celkem 6 včetně 1 podzemního,Cihlová,Velmi dobrý,True,True,,,,Osobní,,,,,Jednopodlažní,"Nájem 18.500,- | Poplatky 5.000,- | Depozit 22.500,- | Provize 15.000,-"
2026-02-08,3750396492,Pronájem bytu 2+kk 45 m²,"Na Slupi, Praha 2 - Nové Město",Praha 2,Nové Město,29000,45,2+kk,4. podlaží z celkem 6,Smíšená,Novostavba,True,True,True,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,True,,,Ústřední plynové,,"poplatky a služby 8 000,- Kč/měsíc, bez PROVIZE"
2026-02-08,3112239948,Pronájem bytu 1+kk 28 m² (Loft),"Malkovského, Praha 9 - Letňany",Praha 9,Letňany,19500,28,1+kk,2. podlaží,Skeletová,Velmi dobrý,True,True,,23,,Osobní,,,,,Loft,"Nájem 19.500,- | Poplatky 3.500,- | Vratná kauce 23.000,- | Provize 15.000,-"
2026-02-08,364905292,Pronájem bytu 2+kk 53 m²,"V zálomu, Praha - Nusle",,,23000,53,2+kk,2. podlaží z celkem 5,Cihlová,Velmi dobrý,False,True,,,Třída G - Mimořádně nehospodárná,Osobní,,4,,,,"Zálohy na služby cca 1.900,- Kč/měsíc/2osoby. Elektřina a plyn převod na nájemce."
2026-02-08,2979820364,Pronájem bytu 2+kk 54 m²,"Stavovská, Praha 10 - Hostivař",Praha 10,Hostivař,15740,54,2+kk,2. podlaží z celkem 3,Cihlová,Novostavba,,,,,Třída G - Mimořádně nehospodárná,Osobní,1,,,Podlahové,,"+ 40.000 kauce, 19.000 + dph pro RK"
2026-02-08,3533796172,Pronájem bytu 2+kk 42 m²,"Na Neklance, Praha 5 - Smíchov",Praha 5,Smíchov,18900,42,2+kk,3. podlaží z celkem 5 včetně 1 podzemního,Cihlová,Velmi dobrý,,,,,Třída G - Mimořádně nehospodárná,Osobní,,True,,,,"+700 Kč/os za vodu a služby, převod ele. na nájemce, kauce 30000 Kč, 19000 Kč + dph pro RK"
2026-02-08,1812599628,Pronájem bytu 2+kk 48 m² (Jednopodlažní),"Za Vokovickou vozovnou, Praha 6 - Veleslavín",Praha 6,Veleslavín,19800,48,2+kk,2. podlaží,Cihlová,Dobrý,,,,,,Osobní,,3,5,,Jednopodlažní,
2026-02-08,3475403596,Pronájem bytu 2+kk 40 m² (Jednopodlažní),"Bítovská, Praha 4 - Michle",Praha 4,Michle,22000,40,2+kk,2. podlaží,Smíšená,Velmi dobrý,True,True,,,,Osobní,,,,,Jednopodlažní,
2026-02-08,1235358540,Pronájem bytu 2+kk 71 m²,"U Rajské zahrady, Praha 3 - Žižkov",Praha 3,Žižkov,35000,71,2+kk,2. podlaží,Cihlová,Po rekonstrukci,True,True,True,,,Osobní,,True,,,,
2026-02-08,3750544204,Pronájem bytu 3+1 93 m²,"Bolzanova, Praha 1 - Nové Město",Praha 1,Nové Město,48900,93,3+1,2. podlaží z celkem 9 včetně 2 podzemních,Cihlová,Velmi dobrý,True,True,,,,Osobní,,True,,,,+ poplatky 4 000 Kč + elektřina
2026-02-08,714728012,Pronájem bytu 3+kk 93 m²,"náměstí Jiřího z Poděbrad, Praha 3 - Vinohrady",Praha 3,Vinohrady,66760,93,3+kk,4. podlaží z celkem 6,Cihlová,Po rekonstrukci,True,True,,,Třída G - Mimořádně nehospodárná,Osobní,True,,,,,
