scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-11,3603653452,Pronájem bytu 2+kk 69 m²,"Veverkova, Praha 7 - Holešovice",Praha 7,Holešovice,24000,69,2+kk,3. podlaží,Cihlová,Velmi dobrý,,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,+ Poplatky na vyžádání
2026-02-11,885744460,Pronájem bytu 2+kk 59 m²,Praha 6 - Vokovice,Praha 6,Vokovice,29200,59,2+kk,přízemí,Cihlová,Novostavba,False,,,,Třída B - Velmi úsporná,Osobní,,True,,,,Poplatky 5 300 Kč. 
2026-02-11,80438092,Pronájem bytu 2+1 39 m²,"Sokolovská, Praha 8 - Karlín",Praha 8,Karlín,26500,39,2+1,1. podlaží z celkem 5,Cihlová,Po rekonstrukci,True,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,,,,,,"+ poplatky 4.700,-Kč (včetně elektřiny)"
2026-02-11,365650764,Pronájem bytu 1+kk 38 m²,"Kroftova, Praha 5 - Smíchov",Praha 5,Smíchov,21000,38,1+kk,4. podlaží,Cihlová,Po rekonstrukci,False,True,,,Třída G - Mimořádně nehospodárná,Osobní,,3,,,,+ Poplatky viz text
2026-02-11,721118028,Pronájem bytu 1+kk 35 m²,"U Průhonu, Praha 7 - Holešovice",Praha 7,Holešovice,20800,35,1+kk,8. podlaží z celkem 9,Smíšená,Velmi dobrý,False,True,3,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,,+ měsíční poplatky za elektřinu: 1.180 Kč a služby: 2.020 Kč
2026-02-11,1257988940,Pronájem bytu 3+kk 82 m² (Mezonet),"Ve Střešovičkách, Praha 6 - Břevnov",Praha 6,Břevnov,30000,82,3+kk,1. podlaží z celkem 3 včetně 1 podzemního,Cihlová,Velmi dobrý,False,True,8,20,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,Osobní,,True,,Ústřední dálkové,Mezonet,
2026-02-11,1006330700,Pronájem bytu 2+1 84 m²,"Dienzenhoferovy sady, Praha 5 - Smíchov",Praha 5,Smíchov,35000,84,2+1,1. podlaží,Cihlová,Velmi dobrý,True,True,2,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,+ Poplatky viz text
2026-02-11,536568652,Pronájem bytu 4+kk 109 m²,"Zvěřinova, Praha 3 - Strašnice",Praha 3,Strašnice,46500,109,4+kk,8. podlaží,Smíšená,Novostavba,True,,8,12,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Osobní,True,,,,,"Záloha n poplatky za domovní služby, vodu a vytápění 8.000 Kč/měs. Elektřina - převod na nájemce."
2026-02-11,1878745932,Pronájem bytu 3+kk 74 m²,"Rybná, Praha 1 - Staré Město",Praha 1,Staré Město,30000,74,3+kk,3. podlaží z celkem 4,Cihlová,Velmi dobrý,True,False,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,poplatky: viz text
2026-02-11,2633720652,Pronájem bytu 2+kk 53 m²,"Krylovecká, Praha 9 - Hloubětín",Praha 9,Hloubětín,24000,53,2+kk,4. podlaží,Smíšená,Novostavba,,,True,,Třída B - Velmi úsporná,Osobní,True,True,,,,+ 3500 Kč poplatky + převod elektřiny na nájemce
